,sub_file_name,total_frames,num_entrances,first_frame_with_nose,first_frame_with_head,first_frame_with_body,first_frame_in_center,frames_with_nose,frames_with_head,frames_with_body,frames_within_50mm,fraction_frames_within_50mm,fraction_LIGHT_frames_within_50mm,fraction_LIGHT_frames_in_center,num_jumps,sum_dist,sum_dist_without_jumps,num_frames_jumping,num_rears,num_frames_rearing
0,/home/dennislab2/Desktop/videos/VID_20230425_120735DLC_resnet50_2022_Knowles_AlexOct13shuffle1_250000.csv,17957,38,4725,4731,4740,4732,6682,6331,6012,5711,0.318037534109261,0.854684226279557,0.145315773720443,34,38699.898926255,38100.4131454796,287,115,2210
0,/home/dennislab2/Desktop/videos/VID_20230426_092012DLC_resnet50_2022_Knowles_AlexOct13shuffle1_250000.csv,17957,9,12815,12826,12957,12894,2305,2046,1852,1561,0.0869298880659353,0.677223427331887,0.322776572668113,8,4472.16021803295,4440.20723861663,53,15,1356
0,/home/dennislab2/Desktop/videos/VID_20230426_094958DLC_resnet50_2022_Knowles_AlexOct13shuffle1_250000.csv,17957,22,565,5565,5632,5625,6070,5000,4577,4923,0.274154925655733,0.811037891268534,0.188962108731466,25,25913.1571233426,25551.0206859124,266,62,1421
0,/home/dennislab2/Desktop/videos/VID_20230426_101130DLC_resnet50_2022_Knowles_AlexOct13shuffle1_250000.csv,17957,26,239,279,319,309,8148,7625,7267,6325,0.352230328005792,0.77626411389298,0.22373588610702,77,33314.777408641,33027.5704935244,896,105,1832
0,/home/dennislab2/Desktop/videos/VID_20230426_103917DLC_resnet50_2022_Knowles_AlexOct13shuffle1_250000.csv,15250,53,0,3,3,167,13018,12408,9527,8674,0.568786885245902,0.666308188661853,0.333691811338147,66,31862.2450802062,31442.455449569,1139,119,4516
0,/home/dennislab2/Desktop/videos/VID_20230426_120237DLC_resnet50_2022_Knowles_AlexOct13shuffle1_250000.csv,13826,41,0,5,5,2103,12246,11715,11129,9494,0.686677274699841,0.775273558713049,0.224726441286951,84,36681.344502436,36539.9443678485,934,180,5651
0,/home/dennislab2/Desktop/videos/VID_20230426_123058DLC_resnet50_2022_Knowles_AlexOct13shuffle1_250000.csv,11116,54,7,15,15,135,8967,6258,5963,8172,0.735156531126304,0.911341585814654,0.0886584141853463,76,38952.1992068466,37655.9854843475,925,153,4287
0,/home/dennislab2/Desktop/videos/VID_20230426_124348DLC_resnet50_2022_Knowles_AlexOct13shuffle1_250000.csv,12901,59,0,7,7,134,11408,10161,9677,8256,0.639950391442524,0.723702664796634,0.276297335203366,61,41239.025753217,40896.914708688,654,181,5151
0,/home/dennislab2/Desktop/videos/VID_20230429_092527DLC_resnet50_2022_Knowles_AlexOct13shuffle1_250000.csv,17957,23,754,758,799,765,10680,9995,8696,6436,0.358411761430083,0.602621722846442,0.397378277153558,38,30210.7980006396,30138.8892198656,391,138,2531
0,/home/dennislab2/Desktop/videos/VID_20230429_094913DLC_resnet50_2022_Knowles_AlexOct13shuffle1_250000.csv,17957,13,6801,6814,6836,6816,7743,7119,6843,5713,0.318148911288077,0.737827715355805,0.262172284644195,67,35049.7415559742,34802.5888158009,733,101,1527
0,/home/dennislab2/Desktop/videos/VID_20230429_100843DLC_resnet50_2022_Knowles_AlexOct13shuffle1_250000.csv,17957,34,857,918,1023,2993,7055,6118,5735,5371,0.299103413710531,0.761304039688164,0.238695960311836,53,26963.0695821814,26389.8388750986,693,79,1542
0,/home/dennislab2/Desktop/videos/VID_20230429_103203DLC_resnet50_2022_Knowles_AlexOct13shuffle1_250000.csv,17957,16,11034,11041,11079,11058,2731,2134,1957,2210,0.123071782591747,0.809227389234713,0.190772610765287,10,12333.2001529452,12108.6138889893,114,35,854
0,/home/dennislab2/Desktop/videos/VID_20230429_105458DLC_resnet50_2022_Knowles_AlexOct13shuffle1_250000.csv,17957,24,5042,5128,5168,5237,6248,5272,5137,4705,0.262014813164782,0.753040973111396,0.246959026888604,25,25836.6219126139,25526.3704905607,238,85,2296
0,/home/dennislab2/Desktop/videos/VID_20230429_111848DLC_resnet50_2022_Knowles_AlexOct13shuffle1_250000.csv,17957,22,2346,2350,2531,2553,7476,6583,6114,5397,0.300551317035139,0.721910112359551,0.278089887640449,61,30442.1762973596,29884.8955904058,727,58,1229
0,/home/dennislab2/Desktop/videos/VID_20230501_081445DLC_resnet50_2022_Knowles_AlexOct13shuffle1_250000.csv,17957,20,5045,5310,7493,5301,6116,4361,3876,4227,0.235395667427744,0.691137998691956,0.308862001308044,31,18548.4337972239,18344.4862597482,360,43,1031
0,/home/dennislab2/Desktop/videos/VID_20230501_083343DLC_resnet50_2022_Knowles_AlexOct13shuffle1_250000.csv,17957,30,784,907,3325,12535,6041,4150,3669,5695,0.317146516678732,0.94272471445125,0.0572752855487502,5,3022.75872192883,3016.52631745438,40,69,1360
0,/home/dennislab2/Desktop/videos/VID_20230501_085230DLC_resnet50_2022_Knowles_AlexOct13shuffle1_250000.csv,17957,36,1495,1780,1875,3688,7263,5238,4696,5849,0.325722559447569,0.805314608288586,0.194685391711414,13,18566.85284124,18489.6577790348,121,74,2213
